ID_PERSONA_PR,ID_CONVOCATORIA,ANO_CONVO_INT,EDAD_ANOS_PR,NME_CLASIFICACION_PR,NME_GENERO_PR,NME_DEPARTAMENTO_RES_PR
1388765,21.0,2021,956.25,INVESTIGADOR ASOCIADO,FEMENINO,LA GUAJIRA
4543,20.0,2019,954.91,INVESTIGADOR ASOCIADO,FEMENINO,"BOGOTÁ, D. C."
1388765,20.0,2019,954.25,INVESTIGADOR ASOCIADO,FEMENINO,LA GUAJIRA
1388765,19.0,2017,952.25,INVESTIGADOR JUNIOR,FEMENINO,LA GUAJIRA
4543,16.0,2013,949.98,INVESTIGADOR JUNIOR,FEMENINO,"BOGOTÁ, D. C."
1543134,21.0,2021,830.33,INVESTIGADOR JUNIOR,MASCULINO,EXTERIOR
1543134,20.0,2019,828.33,INVESTIGADOR JUNIOR,MASCULINO,EXTERIOR
1367977,21.0,2021,351.66,INVESTIGADOR ASOCIADO,MASCULINO,SANTANDER
1562611,21.0,2021,245.91,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
1908,21.0,2021,230.16,INVESTIGADOR SÉNIOR,MASCULINO,"BOGOTÁ, D. C."
456,21.0,2021,229.33,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
1908,20.0,2019,228.16,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
456,20.0,2019,227.33,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
1908,19.0,2017,226.16,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
1908,16.0,2013,223.2,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
1336611,21.0,2021,124.25,INVESTIGADOR JUNIOR,MASCULINO,SUCRE
1336611,20.0,2019,122.25,INVESTIGADOR JUNIOR,MASCULINO,SUCRE
672424,21.0,2021,121.41,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
671878,21.0,2021,121.0,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
672033,21.0,2021,121.0,INVESTIGADOR ASOCIADO,MASCULINO,"BOGOTÁ, D. C."
671878,20.0,2019,119.0,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
671819,18.0,2015,115.51,INVESTIGADOR JUNIOR,MASCULINO,"BOGOTÁ, D. C."
