ANO_CONVO_INT,NME_GRAN_AREA_PR,n_femenino,n_masculino,n_total,pct_femenino,pct_masculino,brecha
2013,CIENCIAS AGRÍCOLAS,111,302,413,0.2688,0.7312000000000001,0.4624
2013,CIENCIAS MÉDICAS Y DE LA SALUD,373,426,799,0.4668,0.5332,0.0664
2013,CIENCIAS NATURALES,672,1408,2080,0.3231,0.6769000000000001,0.3538
2013,CIENCIAS SOCIALES,861,1280,2141,0.4021,0.5979,0.1958
2013,HUMANIDADES,236,464,700,0.3371,0.6629,0.3258
2013,INGENIERÍA Y TECNOLOGÍA,263,993,1256,0.2094,0.7906,0.5812
2013,NO REGISTRA,200,427,627,0.319,0.681,0.362
2014,CIENCIAS AGRÍCOLAS,127,302,429,0.296,0.704,0.408
2014,CIENCIAS MÉDICAS Y DE LA SALUD,682,720,1402,0.4864,0.5136000000000001,0.0272
2014,CIENCIAS NATURALES,760,1538,2298,0.3307,0.6693,0.3386
2014,CIENCIAS SOCIALES,838,1167,2005,0.418,0.5820000000000001,0.164
2014,HUMANIDADES,157,326,483,0.3251,0.6749,0.3498
2014,INGENIERÍA Y TECNOLOGÍA,344,1202,1546,0.2225,0.7775,0.555
2014,NO REGISTRA,26,91,117,0.2222,0.7778,0.5556
2015,CIENCIAS AGRÍCOLAS,155,359,514,0.3016,0.6984,0.3968
2015,CIENCIAS MÉDICAS Y DE LA SALUD,780,887,1667,0.4679,0.5321,0.0642
2015,CIENCIAS NATURALES,875,1771,2646,0.3307,0.6693,0.3386
2015,CIENCIAS SOCIALES,1103,1554,2657,0.4151,0.5849,0.1698
2015,HUMANIDADES,204,442,646,0.3158,0.6841999999999999,0.3684
2015,INGENIERÍA Y TECNOLOGÍA,448,1472,1920,0.2333,0.7666999999999999,0.5334
2017,CIENCIAS AGRÍCOLAS,205,419,624,0.3285,0.6715,0.343
2017,CIENCIAS MÉDICAS Y DE LA SALUD,1008,1085,2093,0.4816,0.5184,0.0368
2017,CIENCIAS NATURALES,1036,1993,3029,0.342,0.6579999999999999,0.316
2017,CIENCIAS SOCIALES,1657,2156,3813,0.4346,0.5654,0.1308
2017,HUMANIDADES,299,605,904,0.3308,0.6692,0.3384
2017,INGENIERÍA Y TECNOLOGÍA,653,1885,2538,0.2573,0.7427,0.4854
2019,CIENCIAS AGRÍCOLAS,256,460,716,0.3575,0.6425000000000001,0.285
2019,CIENCIAS MÉDICAS Y DE LA SALUD,1267,1337,2604,0.4866,0.5134000000000001,0.0268
2019,CIENCIAS NATURALES,1276,2343,3619,0.3526,0.6474,0.2948
2019,CIENCIAS SOCIALES,2291,2908,5199,0.4407,0.5593,0.1186
2019,HUMANIDADES,420,828,1248,0.3365,0.6635,0.327
2019,INGENIERÍA Y TECNOLOGÍA,860,2445,3305,0.2602,0.7398,0.4796
2019,NO REGISTRA,41,64,105,0.3905,0.6094999999999999,0.219
2021,CIENCIAS AGRÍCOLAS,322,598,920,0.35,0.65,0.3
2021,CIENCIAS MÉDICAS Y DE LA SALUD,1749,1692,3441,0.5083,0.4917,-0.0166
2021,CIENCIAS NATURALES,1578,2826,4404,0.3583,0.6416999999999999,0.2834
2021,CIENCIAS SOCIALES,2796,3398,6194,0.4514,0.5486,0.0972
2021,HUMANIDADES,569,914,1483,0.3837,0.6163000000000001,0.2326
2021,INGENIERÍA Y TECNOLOGÍA,1162,3221,4383,0.2651,0.7349,0.4698
2021,NO REGISTRA,122,138,260,0.4692,0.5307999999999999,0.0616
