ANO_CONVO_INT,NME_AREA_PR,n_femenino,n_masculino,n_total,pct_femenino
2013,"AGRICULTURA, SILVICULTURA Y PESCA",60,168,228,0.2632
2013,ARTE,49,62,111,0.4414
2013,BIOTECNOLOGÍA AGRÍCOLA,1,3,4,0.25
2013,BIOTECNOLOGÍA AMBIENTAL,0,1,1,0.0
2013,BIOTECNOLOGÍA EN SALUD,1,3,4,0.25
2013,BIOTECNOLOGÍA INDUSTRIAL,1,1,2,0.5
2013,CIENCIAS ANIMALES Y LECHERÍA,15,46,61,0.2459
2013,CIENCIAS BIOLÓGICAS,420,520,940,0.4468
2013,CIENCIAS DE LA EDUCACIÓN,255,245,500,0.51
2013,CIENCIAS DE LA SALUD,207,129,336,0.6161
2013,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES,29,80,109,0.2661
2013,CIENCIAS FÍSICAS,42,265,307,0.1368
2013,CIENCIAS POLÍTICAS,45,108,153,0.2941
2013,CIENCIAS QUÍMICAS,91,220,311,0.2926
2013,CIENCIAS VETERINARIAS,32,82,114,0.2807
2013,COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN,45,145,190,0.2368
2013,DERECHO,104,192,296,0.3514
2013,ECONOMÍA Y NEGOCIOS,152,364,516,0.2946
2013,GEOGRAFÍA SOCIAL Y ECONÓMICA,11,30,41,0.2683
2013,HISTORIA Y ARQUEOLOGÍA,53,130,183,0.2896
2013,IDIOMAS Y LITERATURA,73,76,149,0.4899
2013,INGENIERÍA AMBIENTAL,19,61,80,0.2375
2013,INGENIERÍA CIVIL,28,125,153,0.183
2013,INGENIERÍA DE LOS MATERIALES,21,63,84,0.25
2013,INGENIERÍA MECÁNICA,5,142,147,0.034
2013,INGENIERÍA MÉDICA,13,38,51,0.2549
2013,INGENIERÍA QUÍMICA,61,127,188,0.3245
2013,"INGENIERÍAS ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA",39,272,311,0.1254
2013,MATEMÁTICA,39,171,210,0.1857
2013,MEDICINA BÁSICA,37,42,79,0.4684
2013,MEDICINA CLÍNICA,116,247,363,0.3196
2013,NANOTECNOLOGÍA,1,4,5,0.2
2013,NO REGISTRA,200,427,627,0.319
2013,OTRAS CIENCIAS AGRÍCOLAS,3,3,6,0.5
2013,OTRAS CIENCIAS MÉDICAS,12,5,17,0.7059
2013,OTRAS CIENCIAS NATURALES,6,7,13,0.4615
2013,OTRAS CIENCIAS SOCIALES,18,18,36,0.5
2013,OTRAS HUMANIDADES,61,196,257,0.2374
2013,OTRAS INGENIERÍAS Y TECNOLOGÍAS,75,159,234,0.3205
2013,PERIODISMO Y COMUNICACIONES,36,61,97,0.3711
2013,PSICOLOGÍA,137,124,261,0.5249
2013,SOCIOLOGÍA,103,138,241,0.4274
2014,"AGRICULTURA, SILVICULTURA Y PESCA",57,154,211,0.2701
2014,ARTE,44,66,110,0.4
2014,BIOTECNOLOGÍA AGRÍCOLA,11,8,19,0.5789
2014,BIOTECNOLOGÍA AMBIENTAL,3,3,6,0.5
2014,BIOTECNOLOGÍA EN SALUD,14,18,32,0.4375
2014,BIOTECNOLOGÍA INDUSTRIAL,12,8,20,0.6
2014,CIENCIAS ANIMALES Y LECHERÍA,20,53,73,0.274
2014,CIENCIAS BIOLÓGICAS,467,550,1017,0.4592
2014,CIENCIAS DE LA EDUCACIÓN,235,234,469,0.5011
2014,CIENCIAS DE LA SALUD,386,238,624,0.6186
2014,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES,39,113,152,0.2566
2014,CIENCIAS FÍSICAS,48,265,313,0.1534
2014,CIENCIAS POLÍTICAS,47,88,135,0.3481
2014,CIENCIAS QUÍMICAS,102,232,334,0.3054
2014,CIENCIAS VETERINARIAS,32,82,114,0.2807
2014,COMPUTACIÓN Y CIENCIAS DE LA INFORMACIÓN,49,172,221,0.2217
2014,DERECHO,88,138,226,0.3894
2014,ECONOMÍA Y NEGOCIOS,151,373,524,0.2882
2014,GEOGRAFÍA SOCIAL Y ECONÓMICA,16,29,45,0.3556
2014,HISTORIA Y ARQUEOLOGÍA,32,83,115,0.2783
2014,IDIOMAS Y LITERATURA,52,42,94,0.5532
2014,INGENIERÍA AMBIENTAL,30,87,117,0.2564
2014,INGENIERÍA CIVIL,23,122,145,0.1586
2014,INGENIERÍA DE LOS MATERIALES,21,59,80,0.2625
2014,INGENIERÍA MECÁNICA,14,146,160,0.0875
2014,INGENIERÍA MÉDICA,15,38,53,0.283
2014,INGENIERÍA QUÍMICA,58,141,199,0.2915
2014,"INGENIERÍAS ELÉCTRICA, ELECTRÓNICA E INFORMÁTICA",56,387,443,0.1264
2014,MATEMÁTICA,50,197,247,0.2024
2014,MEDICINA BÁSICA,78,102,180,0.4333
2014,MEDICINA CLÍNICA,186,350,536,0.347
2014,NANOTECNOLOGÍA,10,18,28,0.3571
2014,NO REGISTRA,26,91,117,0.2222
2014,OTRAS CIENCIAS AGRÍCOLAS,7,5,12,0.5833
2014,OTRAS CIENCIAS MÉDICAS,18,12,30,0.6
2014,OTRAS CIENCIAS NATURALES,5,9,14,0.3571
2014,OTRAS CIENCIAS SOCIALES,48,48,96,0.5
2014,OTRAS HISTORIAS,1,3,4,0.25
2014,OTRAS HUMANIDADES,28,132,160,0.175
2014,OTRAS INGENIERÍAS Y TECNOLOGÍAS,102,193,295,0.3458
