ANO_CONVO_INT,NME_GRAN_AREA_PR,n_femenino,n_masculino,n_total,pct_femenino
2013,CIENCIAS AGRÍCOLAS,111,302,413,0.2688
2013,CIENCIAS MÉDICAS Y DE LA SALUD,373,426,799,0.4668
2013,CIENCIAS NATURALES,672,1408,2080,0.3231
2013,CIENCIAS SOCIALES,861,1280,2141,0.4021
2013,HUMANIDADES,236,464,700,0.3371
2013,INGENIERÍA Y TECNOLOGÍA,263,993,1256,0.2094
2013,NO REGISTRA,200,427,627,0.319
2014,CIENCIAS AGRÍCOLAS,127,302,429,0.296
2014,CIENCIAS MÉDICAS Y DE LA SALUD,682,720,1402,0.4864
2014,CIENCIAS NATURALES,760,1538,2298,0.3307
2014,CIENCIAS SOCIALES,838,1167,2005,0.418
2014,HUMANIDADES,157,326,483,0.3251
2014,INGENIERÍA Y TECNOLOGÍA,344,1202,1546,0.2225
2014,NO REGISTRA,26,91,117,0.2222
2015,CIENCIAS AGRÍCOLAS,155,359,514,0.3016
2015,CIENCIAS MÉDICAS Y DE LA SALUD,780,887,1667,0.4679
2015,CIENCIAS NATURALES,875,1771,2646,0.3307
2015,CIENCIAS SOCIALES,1103,1554,2657,0.4151
2015,HUMANIDADES,204,442,646,0.3158
2015,INGENIERÍA Y TECNOLOGÍA,448,1472,1920,0.2333
2017,CIENCIAS AGRÍCOLAS,205,419,624,0.3285
2017,CIENCIAS MÉDICAS Y DE LA SALUD,1008,1085,2093,0.4816
2017,CIENCIAS NATURALES,1036,1993,3029,0.342
2017,CIENCIAS SOCIALES,1657,2156,3813,0.4346
2017,HUMANIDADES,299,605,904,0.3308
2017,INGENIERÍA Y TECNOLOGÍA,653,1885,2538,0.2573
2019,CIENCIAS AGRÍCOLAS,256,460,716,0.3575
2019,CIENCIAS MÉDICAS Y DE LA SALUD,1267,1337,2604,0.4866
2019,CIENCIAS NATURALES,1276,2343,3619,0.3526
2019,CIENCIAS SOCIALES,2291,2908,5199,0.4407
2019,HUMANIDADES,420,828,1248,0.3365
2019,INGENIERÍA Y TECNOLOGÍA,860,2445,3305,0.2602
2019,NO REGISTRA,41,64,105,0.3905
2021,CIENCIAS AGRÍCOLAS,322,598,920,0.35
2021,CIENCIAS MÉDICAS Y DE LA SALUD,1749,1692,3441,0.5083
2021,CIENCIAS NATURALES,1578,2826,4404,0.3583
2021,CIENCIAS SOCIALES,2796,3398,6194,0.4514
2021,HUMANIDADES,569,914,1483,0.3837
2021,INGENIERÍA Y TECNOLOGÍA,1162,3221,4383,0.2651
2021,NO REGISTRA,122,138,260,0.4692
