NME_DEPARTAMENTO_RES_PR,FEMENINO,MASCULINO,n_total,pct_femenino
"BOGOTÁ, D. C.",9870,15819,25689,38.4
ANTIOQUIA,5122,8939,14061,36.4
VALLE DEL CAUCA,2333,4221,6554,35.6
ATLÁNTICO,1956,2936,4892,40.0
SANTANDER,1378,2549,3927,35.1
CALDAS,850,1567,2417,35.2
EXTERIOR,623,1506,2129,29.3
BOLÍVAR,851,1196,2047,41.6
BOYACÁ,763,1053,1816,42.0
NORTE DE SANTANDER,580,930,1510,38.4
CUNDINAMARCA,590,849,1439,41.0
RISARALDA,419,989,1408,29.8
CÓRDOBA,339,739,1078,31.4
TOLIMA,355,692,1047,33.9
CAUCA,353,671,1024,34.5
