dpto_residencia,total_investigadores,trabajan_en_su_dpto,trabajan_fuera,pct_local,destino_principal_fuera,n_destino_principal
BOGOTA,8934,8202,732,91.8,CUNDINAMARCA,168
ANTIOQUIA,4490,4007,483,89.2,BOGOTA,242
VALLE DEL CAUCA,2316,1936,380,83.6,BOGOTA,236
ATLANTICO,1804,1543,261,85.5,BOGOTA,165
SANTANDER,1482,1272,210,85.8,BOGOTA,98
CALDAS,817,695,122,85.1,BOGOTA,54
BOYACA,772,657,115,85.1,BOGOTA,78
BOLIVAR,663,556,107,83.9,BOGOTA,56
NORTE DE SANTANDER,612,489,123,79.9,BOGOTA,65
CUNDINAMARCA,548,366,182,66.8,BOGOTA,152
RISARALDA,541,382,159,70.6,BOGOTA,101
EXTERIOR,443,0,443,0.0,BOGOTA,180
CORDOBA,416,304,112,73.1,CUNDINAMARCA,31
CAUCA,402,336,66,83.6,BOGOTA,26
NARINO,395,305,90,77.2,ANTIOQUIA,32
TOLIMA,387,262,125,67.7,BOGOTA,48
MAGDALENA,357,264,93,73.9,ANTIOQUIA,37
QUINDIO,257,218,39,84.8,BOGOTA,10
HUILA,248,173,75,69.8,BOGOTA,50
META,221,127,94,57.5,BOGOTA,35
SUCRE,219,199,20,90.9,BOGOTA,7
LA GUAJIRA,189,170,19,89.9,BOGOTA,7
CESAR,156,89,67,57.1,BOGOTA,35
NO DISPONIBLE,123,0,123,0.0,BOGOTA,43
CAQUETA,96,80,16,83.3,BOGOTA,7
CHOCO,49,45,4,91.8,VALLE DEL CAUCA,2
AMAZONAS,34,26,8,76.5,BOGOTA,5
CASANARE,19,0,19,0.0,SANTANDER,8
GUAINIA,5,0,5,0.0,ATLANTICO,5
SAN ANDRES,4,0,4,0.0,BOGOTA,4
ARAUCA,4,0,4,0.0,ANTIOQUIA,3
GUAVIARE,3,0,3,0.0,AMAZONAS,2
PUTUMAYO,2,0,2,0.0,AMAZONAS,1
VICHADA,1,0,1,0.0,BOGOTA,1
