DPTO_RESIDENCIA,DPTO_INSTITUCION,n_investigadores
ANTIOQUIA,BOGOTA,242
VALLE DEL CAUCA,BOGOTA,236
EXTERIOR,BOGOTA,180
BOGOTA,CUNDINAMARCA,168
ATLANTICO,BOGOTA,165
CUNDINAMARCA,BOGOTA,152
BOGOTA,ANTIOQUIA,121
RISARALDA,BOGOTA,101
SANTANDER,BOGOTA,98
BOYACA,BOGOTA,78
ANTIOQUIA,ATLANTICO,77
NORTE DE SANTANDER,BOGOTA,65
BOGOTA,BOYACA,57
BOGOTA,VALLE DEL CAUCA,57
BOLIVAR,BOGOTA,56
CALDAS,BOGOTA,54
BOGOTA,SANTANDER,52
SANTANDER,ANTIOQUIA,52
HUILA,BOGOTA,50
TOLIMA,BOGOTA,48
BOGOTA,ATLANTICO,47
NO DISPONIBLE,BOGOTA,43
VALLE DEL CAUCA,ANTIOQUIA,39
EXTERIOR,ANTIOQUIA,39
TOLIMA,ANTIOQUIA,38
MAGDALENA,ANTIOQUIA,37
BOGOTA,CALDAS,36
META,BOGOTA,35
CESAR,BOGOTA,35
ANTIOQUIA,CUNDINAMARCA,35
NARINO,ANTIOQUIA,32
ANTIOQUIA,CALDAS,32
CORDOBA,CUNDINAMARCA,31
EXTERIOR,VALLE DEL CAUCA,30
NORTE DE SANTANDER,ATLANTICO,30
EXTERIOR,ATLANTICO,30
MAGDALENA,BOGOTA,30
ANTIOQUIA,VALLE DEL CAUCA,29
META,CUNDINAMARCA,27
CAUCA,BOGOTA,26
ATLANTICO,BOLIVAR,26
BOGOTA,AMAZONAS,26
CORDOBA,ANTIOQUIA,26
NARINO,BOGOTA,25
EXTERIOR,EXTRANJERO,25
META,ANTIOQUIA,24
BOGOTA,BOLIVAR,24
BOGOTA,MAGDALENA,21
RISARALDA,ANTIOQUIA,20
CALDAS,ANTIOQUIA,20
BOGOTA,TOLIMA,19
CORDOBA,BOGOTA,19
ATLANTICO,ANTIOQUIA,19
NORTE DE SANTANDER,SANTANDER,18
VALLE DEL CAUCA,CUNDINAMARCA,16
NARINO,CUNDINAMARCA,16
BOGOTA,META,16
EXTERIOR,SANTANDER,16
BOGOTA,NORTE DE SANTANDER,15
EXTERIOR,CUNDINAMARCA,15
VALLE DEL CAUCA,SANTANDER,14
BOGOTA,CORDOBA,14
EXTERIOR,BOLIVAR,13
TOLIMA,CUNDINAMARCA,13
CALDAS,RISARALDA,12
BOGOTA,EXTRANJERO,12
NO DISPONIBLE,ATLANTICO,12
CORDOBA,ATLANTICO,12
VALLE DEL CAUCA,CAUCA,12
HUILA,ANTIOQUIA,12
ATLANTICO,MAGDALENA,12
EXTERIOR,CALDAS,12
VALLE DEL CAUCA,RISARALDA,11
NO DISPONIBLE,ANTIOQUIA,11
RISARALDA,CALDAS,11
CALDAS,VALLE DEL CAUCA,11
BOLIVAR,ATLANTICO,11
SANTANDER,CUNDINAMARCA,11
EXTERIOR,BOYACA,11
ANTIOQUIA,SANTANDER,11
CAUCA,VALLE DEL CAUCA,10
CESAR,CUNDINAMARCA,10
CAUCA,ANTIOQUIA,10
BOYACA,ANTIOQUIA,10
QUINDIO,BOGOTA,10
NO DISPONIBLE,CAQUETA,10
QUINDIO,ANTIOQUIA,10
MAGDALENA,CUNDINAMARCA,9
CORDOBA,SUCRE,8
CASANARE,SANTANDER,8
BOGOTA,RISARALDA,8
BOLIVAR,VALLE DEL CAUCA,8
BOGOTA,HUILA,8
BOLIVAR,ANTIOQUIA,8
EXTERIOR,TOLIMA,8
ATLANTICO,SUCRE,8
EXTERIOR,NARINO,8
NARINO,VALLE DEL CAUCA,8
NO DISPONIBLE,CUNDINAMARCA,8
BOGOTA,LA GUAJIRA,7
SUCRE,BOGOTA,7
BOGOTA,NARINO,7
BOGOTA,QUINDIO,7
LA GUAJIRA,BOGOTA,7
EXTERIOR,MAGDALENA,7
ANTIOQUIA,TOLIMA,7
