inst_filia_str,n_apariciones,pct,pct_acum,nombre_canonico,sigla,departamento_sede,naturaleza,estado
FUNDACION UNIVERSITARIA CAFAM,19,0.028,90.75,,,,,pendiente_revision
UNIVERSIDAD DE CHILE,19,0.028,90.78,,,,,pendiente_revision
CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE,19,0.028,90.8,,,,,pendiente_revision
UNIVERSIDAD LIBRE SECCIONAL CALI (UNIVERSIDAD LIBRE DE COLOMBIA),19,0.028,90.83,,,,,pendiente_revision
UNIVERSIDAD DE LA COSTA CUC,19,0.028,90.86,,,,,pendiente_revision
CIDET,18,0.026,90.89,,,,,pendiente_revision
ICONTEC INTERNACIONAL,18,0.026,90.91,,,,,pendiente_revision
INSTITUTO DE CANCEROLOGIA S A,18,0.026,90.94,,,,,pendiente_revision
CENTRO DE BIOINFORMATICA Y BIOLOGIA COMPUTACIONAL DE COLOMBIA,18,0.026,90.96,,,,,pendiente_revision
SERVICIO NACIONAL DE APRENDIZAJESENA (SERVICIO NACIONAL DE APRENDIZAJE SENA),18,0.026,90.99,,,,,pendiente_revision
UNIVERSIDAD DE LA COSTA (CORPORACION UNIVERSIDAD DE LA COSTA),18,0.026,91.02,,,,,pendiente_revision
UNIVERSIDAD AUTONOMA DE MADRID,17,0.025,91.04,,,,,pendiente_revision
FUNDACION CENTRO DE INVESTIGACION Y EDUCACION POPULAR C I N E P,17,0.025,91.07,,,,,pendiente_revision
ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA,17,0.025,91.09,,,,,pendiente_revision
INSTITUTO DEPARTAMENTAL DE BELLAS ARTES,17,0.025,91.12,,,,,pendiente_revision
HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA E S E,17,0.025,91.14,,,,,pendiente_revision
CLINICA COLSANITAS S A,17,0.025,91.17,,,,,pendiente_revision
FUNDACION CENTRO INTERNACIONAL DE VACUNAS,17,0.025,91.19,,,,,pendiente_revision
ESCUELA COLOMBIANA DE REHABILITACION E C R,17,0.025,91.22,,,,,pendiente_revision
INSTITUCION UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLIVAR,17,0.025,91.24,,,,,pendiente_revision
CORPORACION DE ALTA TECNOLOGIA PARA LA DEFENSA,17,0.025,91.27,,,,,pendiente_revision
INSTITUTO TECNOLOGICO METROPOLITANO,17,0.025,91.29,,,,,pendiente_revision
FUNDACION INTAL,16,0.023,91.31,,,,,pendiente_revision
UNIVERSIDAD DE SANTANDER CAMPUS VALLEDUPAR (UNIVERSIDAD DE SANTANDER),16,0.023,91.34,,,,,pendiente_revision
SOCIEDAD COLOMBIANA DE ANESTESIOLOGIA Y REANIMACION S C A R E,16,0.023,91.36,,,,,pendiente_revision
FUNDACION SALUTIA CENTRO DE ESTUDIOS INNOVACION E INVESTIGACIONES EN SALUD,16,0.023,91.38,,,,,pendiente_revision
FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,16,0.023,91.41,,,,,pendiente_revision
INSTITUTO DE EVALUACION TECNOLOGICA EN SALUD,16,0.023,91.43,,,,,pendiente_revision
PROMIGAS S A E S P,16,0.023,91.45,,,,,pendiente_revision
COLEGIO MAYOR DEL CAUCA INSTITUCION UNIVERSITARIA,16,0.023,91.48,,,,,pendiente_revision
INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL ITFIP,16,0.023,91.5,,,,,pendiente_revision
UNIVERSIDAD DE BARCELONA,15,0.022,91.52,,,,,pendiente_revision
UNIVERSIDAD AUTONOMA DE OCCIDENTE SEDE VALLE DEL LILI (UNIVERSIDAD AUTONOMA DE OCCIDENTE),15,0.022,91.54,,,,,pendiente_revision
CENTRO PARA LA FORMACION CAFETERA SENA REGIONAL CALDAS (SERVICIO NACIONAL DE APRENDIZAJE SENA),15,0.022,91.56,,,,,pendiente_revision
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE SAN ANDRES (UNIVERSIDAD NACIONAL DE COLOMBIA),15,0.022,91.59,,,,,pendiente_revision
CORPORACION UNIVERSITARIA AUTONOMA DE NARINO,15,0.022,91.61,,,,,pendiente_revision
UNIVERSIDAD DE SEVILLA,15,0.022,91.63,,,,,pendiente_revision
OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGIA OCYT,15,0.022,91.65,,,,,pendiente_revision
FUNDACION UNIVERSITARIA SEMINARIO BIBLICO DE COLOMBIA,15,0.022,91.67,,,,,pendiente_revision
CORPORACION UNIVERSITARIA DE ASTURIAS,15,0.022,91.7,,,,,pendiente_revision
INSTITUTO DE CIENCIAS NATURALES U NACIONAL (UNIVERSIDAD NACIONAL DE COLOMBIA),15,0.022,91.72,,,,,pendiente_revision
CENTRO DE INVESTIGACIONES OCEANOGRAFICAS E HIDROGRAFICAS CIOH,14,0.02,91.74,,,,,pendiente_revision
UNIVERSIDAD DE BUENOS AIRES,14,0.02,91.76,,,,,pendiente_revision
