inst_filia_str,n_apariciones,pct,pct_acum
UNIVERSIDAD DE ANTIOQUIA,3669,5.358,5.36
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA (UNIVERSIDAD NACIONAL DE COLOMBIA),3642,5.318,10.68
PONTIFICIA UNIVERSIDAD JAVERIANA,2392,3.493,14.17
UNIVERSIDAD DE LOS ANDES,2071,3.024,17.19
UNIVERSIDAD DEL VALLE,1964,2.868,20.06
UNIVERSIDAD INDUSTRIAL DE SANTANDER,1429,2.087,22.15
UNIVERSIDAD PONTIFICIA BOLIVARIANA,1239,1.809,23.96
COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,1123,1.64,25.6
FUNDACION UNIVERSIDAD DEL NORTE,1077,1.573,27.17
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,968,1.414,28.58
UNIVERSIDAD EAFIT,879,1.284,29.87
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA UPTC SEDE TUNJA (UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA),820,1.197,31.06
UNIVERSIDAD DE CARTAGENA,804,1.174,32.24
UNIVERSIDAD TECNOLOGICA DE PEREIRA,802,1.171,33.41
UNIVERSIDAD DE LA SABANA,777,1.135,34.54
UNIVERSIDAD DE CALDAS,761,1.111,35.66
UNIVERSIDAD EXTERNADO DE COLOMBIA,712,1.04,36.7
UNIVERSIDAD NACIONAL DE COLOMBIA,693,1.012,37.71
UNIVERSIDAD MILITAR NUEVA GRANADA,686,1.002,38.71
UNIVERSIDAD DEL ATLANTICO,678,0.99,39.7
UNIVERSIDAD DE LA SALLE,663,0.968,40.67
UNIVERSIDAD DEL CAUCA,661,0.965,41.63
UNIVERSIDAD EL BOSQUE,640,0.935,42.57
CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA,631,0.921,43.49
UNIVERSIDAD SANTO TOMAS,607,0.886,44.38
CORPORACION UNIVERSIDAD DE LA COSTA,597,0.872,45.25
UNIVERSIDAD DEL TOLIMA,572,0.835,46.08
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MEDELLIN (UNIVERSIDAD NACIONAL DE COLOMBIA),564,0.824,46.91
PONTIFICIA UNIVERSIDAD JAVERIANA PUJ SEDE CALI (PONTIFICIA UNIVERSIDAD JAVERIANA),562,0.821,47.73
UNIVERSIDAD DE CORDOBA,554,0.809,48.54
UNIVERSIDAD DE MEDELLIN,553,0.808,49.34
UNIVERSIDAD COOPERATIVA DE COLOMBIA,546,0.797,50.14
UNIVERSIDAD DEL QUINDIO,526,0.768,50.91
UNIVERSIDAD DEL MAGDALENA,526,0.768,51.68
UNIVERSIDAD LIBRE DE COLOMBIA,520,0.759,52.44
UNIVERSIDAD PEDAGOGICA NACIONAL,517,0.755,53.19
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE MANIZALES (UNIVERSIDAD NACIONAL DE COLOMBIA),508,0.742,53.93
UNIVERSIDAD DE PAMPLONA,503,0.735,54.67
UNIVERSIDAD ICESI,463,0.676,55.34
UNIVERSIDAD DE NARINO,451,0.659,56.0
UNIVERSIDAD JORGE TADEO LOZANO,448,0.654,56.66
UNIVERSIDAD CES,432,0.631,57.29
UNIVERSIDAD SIMON BOLIVAR,432,0.631,57.92
INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,424,0.619,58.54
UNIVERSIDAD SANTIAGO DE CALI,423,0.618,59.16
UNIVERSIDAD DE LA GUAJIRA,416,0.607,59.76
UNIVERSIDAD AUTONOMA DE BUCARAMANGA,414,0.605,60.37
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,390,0.57,60.94
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,388,0.567,61.5
CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,379,0.553,62.06
UNIVERSIDAD SIMON BOLIVAR SEDE BARRANQUILLA Y SEDE CUCUTA (UNIVERSIDAD SIMON BOLIVAR),373,0.545,62.6
UNIVERSIDAD AUTONOMA DE OCCIDENTE,365,0.533,63.14
UNIVERSIDAD SERGIO ARBOLEDA,340,0.496,63.63
UNIVERSIDAD CATOLICA DE COLOMBIA,336,0.491,64.12
UNIVERSIDAD SURCOLOMBIANA,336,0.491,64.61
UNIVERSIDAD AUTONOMA DEL CARIBE,309,0.451,65.06
UNIVERSIDAD NACIONAL DE COLOMBIA SEDE PALMIRA (UNIVERSIDAD NACIONAL DE COLOMBIA),291,0.425,65.49
UNIVERSIDAD CATOLICA LUIS AMIGO,272,0.397,65.89
INSTITUTO NACIONAL DE SALUD,261,0.381,66.27
UNIVERSIDAD DE SUCRE,259,0.378,66.65
UNIVERSIDAD SANTO TOMAS SECCIONAL BUCARAMANGA (UNIVERSIDAD SANTO TOMAS),259,0.378,67.02
UNIVERSIDAD DE SAN BUENAVENTURA CALI (UNIVERSIDAD DE SAN BUENAVENTURA),258,0.377,67.4
UNIVERSIDAD AUTONOMA DE MANIZALES,254,0.371,67.77
CORPORACION UNIVERSITARIA AMERICANA,254,0.371,68.14
UNIVERSIDAD ANTONIO NARINO SEDE BOGOTA U A N (UNIVERSIDAD ANTONIO NARINO),247,0.361,68.5
UNIVERSIDAD DE MANIZALES UMANIZALES,237,0.346,68.85
UNIVERSIDAD DE SAN BUENAVENTURA SEDE MEDELLIN (UNIVERSIDAD DE SAN BUENAVENTURA),236,0.345,69.19
