NME_GRAN_AREA_PR,NME_TIPO_MEDICION_PD,n_productos,pct
CIENCIAS AGRÍCOLAS,Apropiación social del conocimiento,20659,27.3
CIENCIAS AGRÍCOLAS,Apropiación social del conocimiento y divulgación pública de la ciencia,7094,9.37
CIENCIAS AGRÍCOLAS,Formación de recursos humano Tipo A,622,0.82
CIENCIAS AGRÍCOLAS,Formación de recursos humano Tipo B,20003,26.43
CIENCIAS AGRÍCOLAS,No categorizado,9,0.01
CIENCIAS AGRÍCOLAS,Nuevo conocimiento Tipo A,12067,15.94
CIENCIAS AGRÍCOLAS,Nuevo conocimiento Tipo B,8701,11.5
CIENCIAS AGRÍCOLAS,Nuevo conocimiento Top,6530,8.63
CIENCIAS MÉDICAS Y DE LA SALUD,Apropiación social del conocimiento,69500,25.24
CIENCIAS MÉDICAS Y DE LA SALUD,Apropiación social del conocimiento y divulgación pública de la ciencia,28139,10.22
CIENCIAS MÉDICAS Y DE LA SALUD,Formación de recursos humano Tipo A,1218,0.44
CIENCIAS MÉDICAS Y DE LA SALUD,Formación de recursos humano Tipo B,65643,23.84
CIENCIAS MÉDICAS Y DE LA SALUD,No categorizado,12,0.0
CIENCIAS MÉDICAS Y DE LA SALUD,Nuevo conocimiento Tipo A,45193,16.41
CIENCIAS MÉDICAS Y DE LA SALUD,Nuevo conocimiento Tipo B,21841,7.93
CIENCIAS MÉDICAS Y DE LA SALUD,Nuevo conocimiento Top,43800,15.91
CIENCIAS NATURALES,Apropiación social del conocimiento,92924,24.03
CIENCIAS NATURALES,Apropiación social del conocimiento y divulgación pública de la ciencia,33537,8.67
CIENCIAS NATURALES,Formación de recursos humano Tipo A,4002,1.03
CIENCIAS NATURALES,Formación de recursos humano Tipo B,104762,27.09
CIENCIAS NATURALES,No categorizado,5,0.0
CIENCIAS NATURALES,Nuevo conocimiento Tipo A,51233,13.25
CIENCIAS NATURALES,Nuevo conocimiento Tipo B,25717,6.65
CIENCIAS NATURALES,Nuevo conocimiento Top,74494,19.27
CIENCIAS SOCIALES,Apropiación social del conocimiento,178730,30.54
CIENCIAS SOCIALES,Apropiación social del conocimiento y divulgación pública de la ciencia,70910,12.12
CIENCIAS SOCIALES,Formación de recursos humano Tipo A,3633,0.62
CIENCIAS SOCIALES,Formación de recursos humano Tipo B,186190,31.82
CIENCIAS SOCIALES,No categorizado,24,0.0
CIENCIAS SOCIALES,Nuevo conocimiento Tipo A,68426,11.69
CIENCIAS SOCIALES,Nuevo conocimiento Tipo B,60240,10.29
CIENCIAS SOCIALES,Nuevo conocimiento Top,16990,2.9
HUMANIDADES,Apropiación social del conocimiento,37143,30.94
HUMANIDADES,Apropiación social del conocimiento y divulgación pública de la ciencia,15522,12.93
HUMANIDADES,Formación de recursos humano Tipo A,1103,0.92
HUMANIDADES,Formación de recursos humano Tipo B,33810,28.16
HUMANIDADES,No categorizado,1,0.0
HUMANIDADES,Nuevo conocimiento Tipo A,13635,11.36
HUMANIDADES,Nuevo conocimiento Tipo B,15218,12.68
HUMANIDADES,Nuevo conocimiento Top,3627,3.02
INGENIERÍA Y TECNOLOGÍA,Apropiación social del conocimiento,84874,21.85
INGENIERÍA Y TECNOLOGÍA,Apropiación social del conocimiento y divulgación pública de la ciencia,36293,9.34
INGENIERÍA Y TECNOLOGÍA,Formación de recursos humano Tipo A,3103,0.8
INGENIERÍA Y TECNOLOGÍA,Formación de recursos humano Tipo B,137545,35.41
INGENIERÍA Y TECNOLOGÍA,No categorizado,158,0.04
INGENIERÍA Y TECNOLOGÍA,Nuevo conocimiento Tipo A,55233,14.22
INGENIERÍA Y TECNOLOGÍA,Nuevo conocimiento Tipo B,30521,7.86
INGENIERÍA Y TECNOLOGÍA,Nuevo conocimiento Top,40662,10.47
