periodo,resultado,n,pct
2013–2014,Se mantiene,3485,0.4348
2013–2014,Desaparece,3199,0.3991
2013–2014,Sube,953,0.1189
2013–2014,Baja,379,0.0473
2014–2015,Se mantiene,5620,0.6787
2014–2015,Desaparece,1423,0.1719
2014–2015,Sube,945,0.1141
2014–2015,Baja,292,0.0353
2015–2017,Se mantiene,6366,0.6334
2015–2017,Desaparece,1886,0.1877
2015–2017,Sube,1447,0.144
2015–2017,Baja,351,0.0349
2017–2019,Se mantiene,7018,0.5398
2017–2019,Desaparece,3007,0.2313
2017–2019,Sube,2246,0.1728
2017–2019,Baja,730,0.0561
2019–2021,Se mantiene,9657,0.575
2019–2021,Desaparece,3441,0.2049
2019–2021,Sube,2336,0.1391
2019–2021,Baja,1362,0.0811
