NME_DEPARTAMENTO_RES_PR,n_investigadores,n_productos,productos_per_capita,pct_productos,pct_investigadores,ratio_concentracion
"BOGOTÁ, D. C.",10127,615447,60.77,33.43,32.33,1.03
ANTIOQUIA,5108,314088,61.49,17.06,16.31,1.05
VALLE DEL CAUCA,2600,156262,60.1,8.49,8.3,1.02
ATLÁNTICO,1952,116557,59.71,6.33,6.23,1.02
SANTANDER,1621,112195,69.21,6.09,5.18,1.18
BOLÍVAR,808,58889,72.88,3.2,2.58,1.24
CALDAS,900,58208,64.68,3.16,2.87,1.1
RISARALDA,595,43430,72.99,2.36,1.9,1.24
BOYACÁ,819,42105,51.41,2.29,2.61,0.88
NORTE DE SANTANDER,681,41257,60.58,2.24,2.17,1.03
CUNDINAMARCA,623,32391,51.99,1.76,1.99,0.88
CÓRDOBA,447,28658,64.11,1.56,1.43,1.09
NARIÑO,449,26608,59.26,1.45,1.43,1.01
EXTERIOR,1259,24875,19.76,1.35,4.02,0.34
MAGDALENA,390,23944,61.39,1.3,1.25,1.04
CAUCA,465,23737,51.05,1.29,1.48,0.87
TOLIMA,448,22823,50.94,1.24,1.43,0.87
QUINDÍO,285,18699,65.61,1.02,0.91,1.12
LA GUAJIRA,202,16729,82.82,0.91,0.64,1.42
HUILA,314,14266,45.43,0.77,1.0,0.77
SUCRE,245,12371,50.49,0.67,0.78,0.86
META,250,11801,47.2,0.64,0.8,0.8
CESAR,193,9430,48.86,0.51,0.62,0.82
CAQUETÁ,111,4605,41.49,0.25,0.35,0.71
NO DISPONIBLE,243,3494,14.38,0.19,0.78,0.24
CHOCÓ,74,3015,40.74,0.16,0.24,0.67
AMAZONAS,37,2434,65.78,0.13,0.12,1.08
CASANARE,32,1054,32.94,0.06,0.1,0.6
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",13,995,76.54,0.05,0.04,1.25
ARAUCA,13,240,18.46,0.01,0.04,0.25
GUAINÍA,5,84,16.8,0.0,0.02,0.0
PUTUMAYO,4,71,17.75,0.0,0.01,0.0
GUAVIARE,3,54,18.0,0.0,0.01,0.0
VICHADA,2,22,11.0,0.0,0.01,0.0
VAUPÉS,2,6,3.0,0.0,0.01,0.0
