ANO_CONVO_INT,NME_TIPO_MEDICION_PD,n_productos,pct
2013,Apropiación social del conocimiento,111396,46.73
2013,Formación de recursos humano Tipo B,84562,35.47
2013,Nuevo conocimiento Tipo A,20533,8.61
2013,Nuevo conocimiento Top,16610,6.97
2013,Formación de recursos humano Tipo A,2789,1.17
2013,Nuevo conocimiento Tipo B,2516,1.06
2013,No categorizado,1,0.0
2014,Apropiación social del conocimiento,153936,44.99
2014,Formación de recursos humano Tipo B,110539,32.31
2014,Nuevo conocimiento Tipo A,28781,8.41
2014,Nuevo conocimiento Top,22371,6.54
2014,Nuevo conocimiento Tipo B,21606,6.31
2014,Formación de recursos humano Tipo A,4888,1.43
2014,No categorizado,39,0.01
2015,Apropiación social del conocimiento,161007,42.75
2015,Formación de recursos humano Tipo B,123996,32.92
2015,Nuevo conocimiento Tipo A,35451,9.41
2015,Nuevo conocimiento Top,27687,7.35
2015,Nuevo conocimiento Tipo B,22759,6.04
2015,Formación de recursos humano Tipo A,5712,1.52
2015,No categorizado,41,0.01
2017,Apropiación social del conocimiento,217582,40.54
2017,Formación de recursos humano Tipo B,172827,32.2
2017,Nuevo conocimiento Tipo A,54133,10.09
2017,Nuevo conocimiento Tipo B,48664,9.07
2017,Nuevo conocimiento Top,37098,6.91
2017,Formación de recursos humano Tipo A,6282,1.17
2017,No categorizado,62,0.01
2019,Apropiación social del conocimiento,320432,42.01
2019,Formación de recursos humano Tipo B,247390,32.44
2019,Nuevo conocimiento Tipo A,87883,11.52
2019,Nuevo conocimiento Top,50704,6.65
2019,Nuevo conocimiento Tipo B,47553,6.23
2019,Formación de recursos humano Tipo A,8693,1.14
2019,No categorizado,64,0.01
2021,Apropiación social del conocimiento y divulgación pública de la ciencia,331261,36.4
2021,Formación de recursos humano Tipo B,315695,34.69
2021,Nuevo conocimiento Tipo B,93071,10.23
2021,Nuevo conocimiento Tipo A,85183,9.36
2021,Nuevo conocimiento Top,72522,7.97
2021,Formación de recursos humano Tipo A,12249,1.35
2021,No categorizado,61,0.01
