ANO_CONVO_INT,NME_CLASIFICACION_PR,n_investigadores,n_productos_total,productos_promedio,productos_mediana,pct_con_al_menos_un_producto
2013,INVESTIGADOR ASOCIADO,1822,42127,23.12,19.0,96.32
2013,INVESTIGADOR JUNIOR,5499,54457,9.9,6.0,79.41
2013,INVESTIGADOR SÉNIOR,695,27099,38.99,30.0,95.25
2014,INVESTIGADOR ASOCIADO,2064,62561,30.31,25.0,97.63
2014,INVESTIGADOR JUNIOR,5159,67685,13.12,9.0,87.98
2014,INVESTIGADOR SÉNIOR,1057,49794,47.11,39.0,97.63
2015,INVESTIGADOR ASOCIADO,2759,75990,27.54,23.0,97.46
2015,INVESTIGADOR EMÉRITO,74,2594,35.05,28.5,90.54
2015,INVESTIGADOR JUNIOR,6051,73957,12.22,9.0,88.05
2015,INVESTIGADOR SÉNIOR,1166,51884,44.5,36.0,97.34
2017,INVESTIGADOR ASOCIADO,3595,114600,31.88,27.0,98.39
2017,INVESTIGADOR EMÉRITO,124,2886,23.27,15.5,83.87
2017,INVESTIGADOR JUNIOR,7575,107405,14.18,10.0,90.24
2017,INVESTIGADOR SÉNIOR,1707,81044,47.48,38.0,97.95
2019,INVESTIGADOR ASOCIADO,4349,162514,37.37,31.0,98.97
2019,INVESTIGADOR EMÉRITO,53,1892,35.7,28.0,92.45
2019,INVESTIGADOR JUNIOR,9921,162121,16.34,12.0,91.47
2019,INVESTIGADOR SÉNIOR,2473,123831,50.07,41.0,98.83
2021,INVESTIGADOR ASOCIADO,4601,182728,39.71,32.0,98.96
2021,INVESTIGADOR EMÉRITO,83,2653,31.96,29.0,92.77
2021,INVESTIGADOR JUNIOR,13370,238944,17.87,13.0,92.12
2021,INVESTIGADOR SÉNIOR,3040,152078,50.03,41.0,98.36
