NME_CLASIFICACION_PR,NME_TIPO_MEDICION_PD,n_productos,pct
INVESTIGADOR ASOCIADO,Formación de recursos humano Tipo B,240641,37.57
INVESTIGADOR ASOCIADO,Apropiación social del conocimiento,170710,26.65
INVESTIGADOR ASOCIADO,Nuevo conocimiento Tipo A,74678,11.66
INVESTIGADOR ASOCIADO,Apropiación social del conocimiento y divulgación pública de la ciencia,59796,9.34
INVESTIGADOR ASOCIADO,Nuevo conocimiento Tipo B,56635,8.84
INVESTIGADOR ASOCIADO,Nuevo conocimiento Top,34255,5.35
INVESTIGADOR ASOCIADO,Formación de recursos humano Tipo A,3742,0.58
INVESTIGADOR ASOCIADO,No categorizado,63,0.01
INVESTIGADOR EMÉRITO,Apropiación social del conocimiento,2319,23.13
INVESTIGADOR EMÉRITO,Formación de recursos humano Tipo B,2172,21.67
INVESTIGADOR EMÉRITO,Nuevo conocimiento Tipo A,1926,19.21
INVESTIGADOR EMÉRITO,Nuevo conocimiento Top,1823,18.18
INVESTIGADOR EMÉRITO,Nuevo conocimiento Tipo B,806,8.04
INVESTIGADOR EMÉRITO,Apropiación social del conocimiento y divulgación pública de la ciencia,621,6.19
INVESTIGADOR EMÉRITO,Formación de recursos humano Tipo A,354,3.53
INVESTIGADOR EMÉRITO,No categorizado,4,0.04
INVESTIGADOR JUNIOR,Apropiación social del conocimiento,215359,30.57
INVESTIGADOR JUNIOR,Formación de recursos humano Tipo B,175588,24.92
INVESTIGADOR JUNIOR,Apropiación social del conocimiento y divulgación pública de la ciencia,92698,13.16
INVESTIGADOR JUNIOR,Nuevo conocimiento Tipo A,86036,12.21
INVESTIGADOR JUNIOR,Nuevo conocimiento Tipo B,72593,10.3
INVESTIGADOR JUNIOR,Nuevo conocimiento Top,60887,8.64
INVESTIGADOR JUNIOR,Formación de recursos humano Tipo A,1345,0.19
INVESTIGADOR JUNIOR,No categorizado,63,0.01
INVESTIGADOR SÉNIOR,Formación de recursos humano Tipo B,131492,27.07
INVESTIGADOR SÉNIOR,Apropiación social del conocimiento,98454,20.27
INVESTIGADOR SÉNIOR,Nuevo conocimiento Top,90740,18.68
INVESTIGADOR SÉNIOR,Nuevo conocimiento Tipo A,84704,17.44
INVESTIGADOR SÉNIOR,Apropiación social del conocimiento y divulgación pública de la ciencia,38980,8.03
INVESTIGADOR SÉNIOR,Nuevo conocimiento Tipo B,32980,6.79
INVESTIGADOR SÉNIOR,Formación de recursos humano Tipo A,8299,1.71
INVESTIGADOR SÉNIOR,No categorizado,81,0.02
