institucion,grado,grado_ponderado,betweenness
UNIVERSIDAD NACIONAL DE COLOMBIA,56,73,0.177169
UNIVERSIDAD DE ANTIOQUIA,34,45,0.111242
UNIVERSIDAD DE LOS ANDES,21,24,0.100712
PONTIFICIA UNIVERSIDAD JAVERIANA,19,23,0.079404
UNIVERSIDAD DEL VALLE,21,22,0.062857
UNIVERSIDAD SANTO TOMAS,19,20,0.063246
UNIVERSIDAD INDUSTRIAL DE SANTANDER,15,17,0.05059
FUNDACION UNIVERSIDAD DEL NORTE,14,16,0.044159
UNIVERSIDAD DE SAN BUENAVENTURA,13,15,0.059611
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,13,14,0.031595
UNIVERSIDAD DE LA SABANA,13,13,0.031483
UNIVERSIDAD EAFIT,9,11,0.021225
UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,10,11,0.017175
UNIVERSIDAD TECNOLOGICA DE PEREIRA,10,10,0.039739
UNIVERSIDAD PONTIFICIA BOLIVARIANA,9,10,0.016461
UNIVERSIDAD DE CARTAGENA,8,9,0.026059
UNIVERSIDAD DE MEDELLIN,7,9,0.011153
UNIVERSIDAD COOPERATIVA DE COLOMBIA,9,9,0.028315
UNIVERSIDAD LIBRE DE COLOMBIA,9,9,0.027229
UNIVERSIDAD DEL MAGDALENA,9,9,0.018256
UNIVERSIDAD EXTERNADO DE COLOMBIA,9,9,0.023759
UNIVERSIDAD ECCI,8,8,0.037361
CORPORACION UNIVERSIDAD DE LA COSTA,8,8,0.024203
COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,8,8,0.023509
SERVICIO NACIONAL DE APRENDIZAJE SENA,8,8,0.019587
UNIVERSIDAD SIMON BOLIVAR,8,8,0.026807
UNIVERSIDAD DE LOS LLANOS,6,7,0.005534
UNIVERSIDAD ANTONIO NARINO,7,7,0.025704
UNIVERSIDAD DEL ATLANTICO,7,7,0.018204
UNIVERSIDAD DE LA GUAJIRA,6,7,0.011284
UNIVERSIDAD EL BOSQUE,5,6,0.018086
UNIVERSIDAD DE CUNDINAMARCA,6,6,0.012856
UNIVERSIDAD DE PAMPLONA,6,6,0.014349
UNIVERSIDAD DEL QUINDIO,6,6,0.013653
FUNDACION UNIVERSITARIA DEL AREA ANDINA,6,6,0.007692
UNIVERSIDAD SERGIO ARBOLEDA,6,6,0.0141
UNIVERSIDAD SURCOLOMBIANA,6,6,0.011839
UNIVERSIDAD MILITAR NUEVA GRANADA,6,6,0.025365
UNIDADES TECNOLOGICAS DE SANTANDER,5,5,0.007467
INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN,3,5,0.006559
UNIVERSIDAD CES,5,5,0.013098
UNIVERSIDAD POPULAR DEL CESAR,5,5,0.010428
CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA AGROSAVIA,5,5,0.013134
CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,5,5,0.010596
UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM,5,5,0.013339
INSTITUTO NACIONAL DE SALUD,4,5,0.003931
UNIVERSIDAD AUTONOMA DE BUCARAMANGA,4,4,0.003618
UNIVERSIDAD DE LA AMAZONIA,4,4,0.003972
UNIVERSIDAD CENTRAL,3,4,0.000623
MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION,4,4,0.02305
UNIVERSIDAD CATOLICA DE MANIZALES,4,4,0.011574
FUNDACION UNIVERSITARIA AGRARIA DE COLOMBIA,4,4,0.003023
UNIVERSIDAD EIA,4,4,0.019546
UNIVERSIDAD DEL CAUCA,4,4,0.008264
POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,4,4,0.008993
CENTRO DE BIOINFORMATICA Y BIOLOGIA COMPUTACIONAL DE COLOMBIA,4,4,0.031741
UNIVERSIDAD DE MANIZALES UMANIZALES,4,4,0.012879
UNIVERSIDAD PEDAGOGICA NACIONAL,4,4,0.006569
INSTITUTO DE INVESTIGACION DE RECURSOS BIOLOGICOS ALEXANDER VON HUMBOLDT,3,4,0.001984
UNIVERSIDAD AUTONOMA DEL CARIBE,4,4,0.009839
FUNDACION SANTA FE DE BOGOTA,4,4,0.006795
UNIVERSIDAD EAN,4,4,0.007337
UNIVERSIDAD DE SANTANDER,4,4,0.005022
CORPORACION UNIVERSITARIA AMERICANA,4,4,0.009839
UNIVERSIDAD CATOLICA DE COLOMBIA,4,4,0.005617
FUNDACION UNIVERSITARIA DE CIENCIAS DE LA SALUD FUCS,4,4,0.009839
UNIVERSITARIA AGUSTINIANA,3,3,0.007836
UNIVERSIDAD MANUELA BELTRAN,3,3,0.004589
UNIVERSIDAD DE LA SALLE,3,3,0.000849
FUNDACION UNIVERSITARIA LOS LIBERTADORES,3,3,0.004495
UNIVERSIDAD DE CALDAS,3,3,0.009829
UNIVERSIDAD AUTONOMA LATINOAMERICANA UNAULA,3,3,0.001322
UNIVERSIDAD DE SUCRE,3,3,0.004097
FUNDACION UNIVERSITARIA NAVARRA UNINAVARRA,3,3,0.003824
INSTITUTO TECNOLOGICO METROPOLITANO,2,3,0.00329
INSTITUTO UNIVERSITARIO DE LA PAZ INUPAZ,3,3,0.003618
UNIVERSIDAD LA GRAN COLOMBIA,3,3,0.00475
UNIVERSIDAD MARIANA UNIMAR,3,3,3e-05
INSTITUCION UNIVERSITARIA PASCUAL BRAVO,3,3,0.004143
INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,2,3,0.0
