ID_PERSONA_PR,ANO_CONVO_INT,inst_a,inst_b
74,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD COOPERATIVA DE COLOMBIA
1023,2019,UNIVERSIDAD DE CARTAGENA,UNIVERSIDAD DEL VALLE
1071,2019,CORPORACION UNIVERSITARIA ADVENTISTA,UNIVERSIDAD COOPERATIVA DE COLOMBIA
1546,2019,SWISS FEDERAL INSITITUTE OF TECHNOLOGY,UNIVERSIDAD NACIONAL DE COLOMBIA
1948,2019,UNIVERSIDAD DE LA AMAZONIA,UNIVERSIDAD INDUSTRIAL DE SANTANDER
3882,2019,HOSPITAL UNIVERSITARIO DE BARRANQUILLA,UNIVERSIDAD METROPOLITANA
3925,2019,MINISTERIO DE SALUD Y PROTECCION SOCIAL,SECRETARIA DISTRITAL DE SALUD DE BOGOTA
4480,2019,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA CENTRO NACIONAL DE INVESTIGACIONES DE CAFE CENICAFE
4690,2019,THE UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,UNIVERSIDAD EAFIT
4869,2019,ORGANIZACION SER HUMANO S A S,PERSEUS ALLIANZ
6174,2019,UNIVERSIDAD TECNOLOGICA DE PEREIRA,UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP
8320,2019,CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CARLOS LLERAS RESTREPO,UNIVERSIDAD DE LOS ANDES
8419,2019,ASOCIACION COLOMBIANA DE FACULTADES DE INGENIERIA ACOFI,UNIVERSIDAD DE LOS ANDES
9445,2019,MINISTERIO DE SALUD Y PROTECCION SOCIAL,UNIVERSIDAD DE LOS LLANOS
10499,2019,INTER AMERICAN DEVELOPMENT BANK,UNIVERSIDAD DE LOS ANDES
14476,2019,CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,UNIVERSIDAD NACIONAL DE COLOMBIA
15143,2019,UNIVERSIDAD SANTO TOMAS,UNIVERSITARIA AGUSTINIANA
15259,2019,SERVICIO NACIONAL DE APRENDIZAJE SENA,SERVICIO NACIONAL DE APRENDIZAJE SENA REGIONAL ATLANTICO
16509,2019,CENTRE EPIC INSTITUTO DE CARDIOLOGIA DE MONTREAL,UNIVERSIDAD PEDAGOGICA NACIONAL
18772,2019,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,UNIVERSIDAD DEL SINU ELIAS BECHARA ZAINUM
19767,2019,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,UNIVERSIDAD DE LA SABANA
24554,2019,ESCUELA PEDAGOGICA EXPERIMETAL,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
29335,2019,RED LATINOAMERICANA DE CIENCIAS BIOLOGICAS,UNIVERSIDAD DEL VALLE
29890,2019,UNIVERSITY OF CALIFORNIA DAVIS,UNIVERSITY OF OXFORD
31387,2019,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,UNIVERSIDAD INDUSTRIAL DE SANTANDER
31913,2019,FUNDACION UNIVERSIDAD DEL NORTE,INDIAN INSTITUTE OF ENTREPRENEURSHIP
34010,2019,FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE ANTIOQUIA
34096,2019,ASOCIACION COLOMBIANA DE CRIADORES DE BUFALOS ACB,UNIVERSIDAD NACIONAL DE COLOMBIA
35777,2019,CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,UNIVERSIDAD CENTRAL
37931,2019,UNIVERSIDAD DEL ESTADO DE RIO DE JANEIRO,UNIVERSIDAD PEDAGOGICA NACIONAL
40525,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD EAFIT
40649,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD DE LA SABANA
41286,2019,COLEGIO DE SANTANDER,UNIDADES TECNOLOGICAS DE SANTANDER
46132,2019,FUNDACION UNIVERSITARIA LOS LIBERTADORES,UNIVERSIDAD EXTERNADO DE COLOMBIA
47023,2019,UNIVERSIDAD DEL VALLE,UNIVERSIDAD MILITAR NUEVA GRANADA
47694,2019,UNIVERSIDAD DE SANTANDER,UNIVERSIDAD INDUSTRIAL DE SANTANDER
51523,2019,UNIVERSIDAD DE PAMPLONA,UNIVERSIDAD SIMON BOLIVAR
52841,2019,UNIVERSIDAD CATOLICA LUIS AMIGO,UNIVERSIDAD DE SAN BUENAVENTURA
53110,2019,INSTITUTO DE INGENIERIA DE ALIMENTOS PARA EL DESARROLLO,UNIVERSITAT POLITECNICA DE VALENCIA
53309,2019,DIRECCION GENERAL PARA LA PREVENCION Y ATENCION DE DESASTRES,UNIVERSIDAD DE LOS ANDES
60280,2019,UNIVERSIDAD DE LA AMAZONIA,UNIVERSIDAD TECNOLOGICA DE PEREIRA
64924,2019,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,UNIVERSIDAD AUTONOMA LATINOAMERICANA UNAULA
65411,2019,UNIVERSIDAD DEL ATLANTICO,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
65420,2019,UNIVERSIDAD DE SAO PABLO,UNIVERSIDAD DEL VALLE
67253,2019,CLINICA COLSANITAS S A,UNIVERSIDAD INDUSTRIAL DE SANTANDER
68756,2019,BARRY UNIVERSITY,UNIVERSIDAD INDUSTRIAL DE SANTANDER
69833,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DEL CAUCA
73580,2019,CONSEJO LATINOAMERICANO DE CIENCIAS SOCIALES CLACSO,UNIVERSIDAD EXTERNADO DE COLOMBIA
75930,2019,UNIVERSIDAD DE LOS LLANOS,UNIVERSIDAD NACIONAL DE COLOMBIA
76422,2019,CENTRO DE ESTUDIOS AVANZADOS NINEZ Y JUVENTUD UNIVERSIDAD DE MANIZALES CINDE,CENTRO DE INVESTIGACIONES UNIVERSIDAD DE MANIZALES
84336,2019,CENTRO DE ESTUDIOS CIENTIFICOS EN EDUCACION Y PEDAGOGIA,UNIVERSIDAD SIMON BOLIVAR
85088,2019,ASOCIACION PISCICOLA EL VERGEL,SERVICIO NACIONAL DE APRENDIZAJE SENA
88293,2019,CORPORACION PARQUE EXPLORA,UNIVERSIDAD DE ANTIOQUIA
88722,2019,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION,UNIVERSIDAD TECNOLOGICA DEL CHOCO DIEGO LUIS CORDOBA
89834,2019,FUNDACION UNIVERSIDAD DEL NORTE,MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION
90379,2019,ASOCIACION COLOMBIANA DE INFECTOLOGIA,CLINICA COLSANITAS S A
93680,2019,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA,UNIVERSIDAD PRIVADA DR RAFAEL BELLOSO CHACIN
94692,2019,CENTRO DE CONSULTORIA Y SERVICIO,FUNDACION UNIVERSIDAD DEL NORTE
95214,2019,FUNDACION CENTRO INTERNACIONAL DE EDUCACION Y DESARROLLO HUMANO CINDE,UNIVERSIDAD DE MANIZALES UMANIZALES
103128,2019,CORPORACION UNIVERSITARIA IBEROAMERICANA,SECRETARIA DE EDUCACION DEL DISTRITO
105163,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE MEDELLIN
106273,2019,INSTITUCION EDUCATIVA TENICO INDUSTRIAL DIEZ DE MAYO,INSTITUTO TOBIAS EMANUEL
107263,2019,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO,CORPORACION PARA INVESTIGACIONES BIOLOGICAS
109924,2019,FUNDACION NATURA COLOMBIA,INSTITUTO COLOMBIANO DEL PETROLEO
112364,2019,UNIVERSIDAD DE CARTAGENA,UNIVERSIDAD DEL VALLE
112828,2019,CENTRO DE EXCELENCIA EN NUEVOS MATERIALES CENM,UNIVERSIDAD DEL VALLE
141194,2019,FUNDACION UNIVERSIDAD DEL NORTE,ORGANIZACION PANAMERICANA DE LA SALUD
141682,2019,CLINICA SAMEIN,UNIVERSIDAD DE ANTIOQUIA
142654,2019,CORPORACION PARA LA INVESTIGACION ETNOMUSICAL SON DE NEGRO,UNIVERSIDAD DEL ATLANTICO
143200,2019,INSTITUTO COLOMBIANO DE MEDICINA TROPICAL INSTITUTO DE CIENCIAS DE LA SALUD CES,INSTITUTO COLOMBIANO DE MEDICINA TROPICAL UNIVERSIDAD CES
145130,2019,UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD NACIONAL DE COLOMBIA
145600,2019,CORPORACION UNIVERSITARIA MINUTO DE DIOS UNIMINUTO,UNIVERSIDAD COOPERATIVA DE COLOMBIA
