nombre_canonico,sigla,naturaleza,sedes_registradas,departamentos,apariciones_totales,variantes_inst_filia
Universidad Nacional de Colombia,UNAL,publica,5,Amazonas | Antioquia | Bogotá D.C. | Caldas | Valle del Cauca,5744,6
Universidad de Antioquia,UdeA,publica,1,Antioquia,3669,1
Pontificia Universidad Javeriana,PUJ,privada,2,Bogotá D.C. | Valle del Cauca,2975,3
Universidad de los Andes,Uniandes,privada,1,Bogotá D.C.,2071,1
Universidad del Valle,Univalle,publica,1,Valle del Cauca,2002,2
Universidad Pontificia Bolivariana,UPB,privada,4,Antioquia | Córdoba | Santander | Valle del Cauca,1579,5
Universidad Industrial de Santander,UIS,publica,1,Santander,1429,1
Universidad del Rosario,URosario,privada,1,Bogotá D.C.,1190,2
Universidad Pedagógica y Tecnológica de Colombia,UPTC,publica,1,Boyacá,1144,5
Universidad del Norte,Uninorte,privada,1,Atlántico,1098,2
Universidad Santo Tomás,USTA,privada,4,Bogotá D.C. | Boyacá | Meta | Santander,1093,5
Universidad Distrital Francisco José de Caldas,UDFJC,publica,1,Bogotá D.C.,968,1
Universidad Simón Bolívar,Unisimón,privada,2,Atlántico | Norte de Santander,926,4
Universidad EAFIT,EAFIT,privada,1,Antioquia,879,1
Universidad de San Buenaventura,USB,privada,4,Antioquia | Bogotá D.C. | Bolívar | Valle del Cauca,873,5
Universidad de Cartagena,Unicartagena,publica,1,Bolívar,804,1
Universidad Tecnológica de Pereira,UTP,publica,1,Risaralda,802,1
Universidad de La Sabana,Unisabana,privada,1,Cundinamarca,777,1
Universidad de Caldas,Ucaldas,publica,1,Caldas,761,1
Universidad El Bosque,UElBosque,privada,1,Bogotá D.C.,746,2
Universidad Externado de Colombia,Externado,privada,1,Bogotá D.C.,712,1
Universidad Militar Nueva Granada,UMNG,publica,1,Bogotá D.C.,686,1
Universidad del Atlántico,Uniatlántico,publica,1,Atlántico,678,1
Universidad de La Salle,ULaSalle,privada,1,Bogotá D.C.,663,1
Universidad del Cauca,Unicauca,publica,1,Cauca,661,1
Corporación Colombiana de Investigación Agropecuaria,Agrosavia,mixta,1,Cundinamarca,631,1
Universidad de la Costa,CUC,privada,1,Atlántico,597,1
Universidad del Tolima,UTolima,publica,1,Tolima,572,1
Universidad de Córdoba,Unicórdoba,publica,1,Córdoba,554,1
Universidad de Medellín,UdeM,privada,1,Antioquia,553,1
Universidad Cooperativa de Colombia,UCC,privada,1,Antioquia,546,1
Universidad del Magdalena,Unimagdalena,publica,1,Magdalena,526,1
Universidad del Quindío,Uniquindío,publica,1,Quindío,526,1
Universidad Libre,Unilibre,privada,1,Bogotá D.C.,520,1
Universidad Pedagógica Nacional,UPN,publica,1,Bogotá D.C.,517,1
Universidad Francisco de Paula Santander,UFPS,publica,1,Norte de Santander,506,2
Universidad Antonio Nariño,UAN,privada,2,Bogotá D.C. | Boyacá,505,3
Universidad de Pamplona,Unipamplona,publica,1,Norte de Santander,503,1
Universidad de Bogotá Jorge Tadeo Lozano,UTadeo,privada,2,Bogotá D.C. | Magdalena,476,2
Universidad ICESI,ICESI,privada,1,Valle del Cauca,463,1
Universidad CES,CES,privada,1,Antioquia,457,2
Universidad de Nariño,Udenar,publica,1,Nariño,451,1
Instituto Tecnológico Metropolitano,ITM,publica,1,Antioquia,450,2
Universidad Santiago de Cali,USC,privada,1,Valle del Cauca,423,1
Universidad de La Guajira,Uniguajira,publica,1,La Guajira,416,1
Universidad Autónoma de Bucaramanga,UNAB,privada,1,Santander,414,1
Universidad Nacional Abierta y a Distancia,UNAD,publica,1,Bogotá D.C.,388,1
Universidad Sergio Arboleda,USA,privada,2,Bogotá D.C. | Magdalena,382,2
Corporación Universitaria Minuto de Dios,UNIMINUTO,privada,1,Bogotá D.C.,379,1
Universidad Autónoma de Occidente,UAO,privada,1,Valle del Cauca,365,1
Universidad Católica de Colombia,UCatólica,privada,1,Bogotá D.C.,336,1
Universidad Surcolombiana,USCO,publica,1,Huila,336,1
Universidad Autónoma del Caribe,Uniautónoma,privada,1,Atlántico,309,1
Servicio Nacional de Aprendizaje,SENA,publica,3,Atlántico | Bogotá D.C. | Valle del Cauca,278,3
Universidad Católica Luis Amigó,UCatólicaLA,privada,1,Antioquia,272,1
Instituto Nacional de Salud,INS,publica,1,Bogotá D.C.,261,1
Universidad de Sucre,Unisucre,publica,1,Sucre,259,1
Corporación Universitaria Americana,Americana,privada,1,Atlántico,254,1
Universidad Autónoma de Manizales,Autónoma,privada,1,Caldas,254,1
Universidad de Santander,UDES,privada,1,Santander,252,2
Universidad Manuela Beltrán,UMB,privada,2,Bogotá D.C. | Santander,250,2
Universidad de Manizales,Umanizales,privada,1,Caldas,237,1
Universidad del Sinú,Unisinú,privada,2,Bolívar | Córdoba,231,2
Fundación Universitaria de Ciencias de la Salud,FUCS,privada,1,Bogotá D.C.,221,1
Universidad de los Llanos,Unillanos,publica,1,Meta,218,1
Universidad EAN,EAN,privada,1,Bogotá D.C.,216,1
Universidad de la Amazonia,Uniamazonia,publica,1,Caquetá,208,1
Universidad Popular del Cesar,UPC,publica,1,Cesar,201,1
Universidad de Boyacá,Uniboyacá,privada,1,Boyacá,199,1
Universidad Tecnológica de Bolívar,UTB,privada,1,Bolívar,198,1
Universidad Mariana,Unimar,privada,1,Nariño,197,2
Politécnico Colombiano Jaime Isaza Cadavid,PCJIC,publica,1,Antioquia,196,1
Unidades Tecnológicas de Santander,UTS,publica,1,Santander,195,1
Corporación Universitaria del Caribe,CECAR,privada,1,Sucre,192,1
Universidad de Ciencias Aplicadas y Ambientales,UDCA,privada,1,Bogotá D.C.,179,1
Fundación Universitaria del Área Andina,Areandina,privada,1,Bogotá D.C.,177,1
Universidad Central,UCentral,privada,1,Bogotá D.C.,173,1
Universidad La Gran Colombia,UGC,privada,2,Bogotá D.C. | Quindío,169,3
Fundación Santa Fe de Bogotá,FSFB,privada,1,Bogotá D.C.,168,1
Tecnológico de Antioquia,TdeA,publica,1,Antioquia,166,1
Corporación Universitaria Lasallista,Lasallista,privada,1,Antioquia,165,1
Universidad EIA,EIA,privada,1,Antioquia,148,1
Instituto Humboldt,Humboldt,publica,1,Bogotá D.C.,147,1
Fundación Universitaria Los Libertadores,Libertadores,privada,1,Bogotá D.C.,146,1
Universidad Piloto de Colombia,Unipiloto,privada,1,Bogotá D.C.,146,1
Fundación Universitaria Konrad Lorenz,Konrad,privada,1,Bogotá D.C.,145,1
Universidad de Ibagué,Unibagué,privada,1,Tolima,144,1
Universidad Católica de Oriente,UCO,privada,1,Antioquia,144,1
Instituto Nacional de Cancerología,INC,publica,1,Bogotá D.C.,143,1
Universidad Católica de Pereira,UCP,privada,1,Risaralda,142,1
Universidad Católica de Manizales,UCM,privada,1,Caldas,139,1
Universidad Colegio Mayor de Cundinamarca,UCMC,publica,1,Bogotá D.C.,133,1
Instituto INVEMAR,INVEMAR,publica,1,Magdalena,133,1
Escuela Colombiana de Ingeniería Julio Garavito,ECI,privada,1,Bogotá D.C.,132,1
Fundación Cardioinfantil,FCI,privada,1,Bogotá D.C.,128,1
Institución Universitaria Pascual Bravo,IUPB,publica,1,Antioquia,127,1
Fundación Universitaria Tecnológico Comfenalco,Comfenalco,privada,1,Bolívar,127,1
Universidad de Cundinamarca,Ucundinamarca,publica,1,Cundinamarca,126,1
Universidad Autónoma de Colombia,FUAC,privada,1,Bogotá D.C.,126,1
Politécnico Grancolombiano,Poli,privada,1,Bogotá D.C.,123,1
Corporación Universitaria Remington,Remington,privada,1,Antioquia,122,1
Centro Nacional de Investigaciones de Café,Cenicafé,mixta,1,Caldas,122,2
Hospital Universitario San Ignacio,HUSI,privada,1,Bogotá D.C.,120,1
Institución Universitaria ITSA,ITSA,publica,1,Atlántico,119,1
Universidad ECCI,ECCI,privada,1,Bogotá D.C.,119,1
Corporación Universitaria Rafael Núñez,Curn,privada,1,Bolívar,118,1
Universidad Metropolitana,Unimetro,privada,1,Atlántico,117,1
Fundación Valle del Lili,FVL,privada,1,Valle del Cauca,117,1
