NME_DEPARTAMENTO_RES_PR,2013,2014,2015,2017,2019,2021
"BOGOTÁ, D. C.",0.3673,0.3556,0.3483,0.3355,0.3199,0.312
ANTIOQUIA,0.195,0.2064,0.1937,0.1842,0.1738,0.1673
VALLE DEL CAUCA,0.0921,0.0944,0.091,0.0872,0.0784,0.0792
ATLÁNTICO,0.0398,0.043,0.0513,0.0708,0.077,0.0704
SANTANDER,0.0463,0.0459,0.0485,0.0501,0.0517,0.0555
CALDAS,0.0319,0.0349,0.0331,0.0322,0.0302,0.029
EXTERIOR,0.0407,0.0287,0.0321,0.022,0.0226,0.0274
BOLÍVAR,0.0228,0.0274,0.0273,0.0263,0.027,0.0269
BOYACÁ,0.017,0.0181,0.0201,0.0216,0.0276,0.0277
CUNDINAMARCA,0.0163,0.0165,0.0175,0.0199,0.0179,0.0206
RISARALDA,0.0182,0.0176,0.0173,0.0158,0.0193,0.0196
NORTE DE SANTANDER,0.0132,0.0136,0.014,0.0192,0.0224,0.0248
CÓRDOBA,0.0105,0.0122,0.0119,0.0138,0.0149,0.0163
TOLIMA,0.0122,0.013,0.0127,0.0133,0.0133,0.015
CAUCA,0.0136,0.0107,0.0115,0.0118,0.0135,0.0156
